epoch,train_loss,train_acc,val_loss,val_acc,val_f1,lr
1,1.707,0.3886,1.4873,0.4179,0.3888,0.0002
2,1.6325,0.4323,1.4783,0.4279,0.4114,0.0002
3,1.6073,0.4434,1.4425,0.4458,0.4364,0.0002
4,1.5896,0.4532,1.4104,0.459,0.4484,0.0002
5,1.5689,0.4656,1.3907,0.4716,0.4682,0.0002
6,1.5539,0.473,1.3878,0.4759,0.4758,0.0002
7,1.5372,0.4798,1.3913,0.4675,0.4665,0.0002
8,1.5261,0.488,1.3955,0.47,0.4689,0.0002
9,1.505,0.4981,1.3999,0.4686,0.4701,0.0002
10,1.4904,0.5037,1.3995,0.4746,0.4711,0.0001
11,1.441,0.5279,1.3788,0.4813,0.4771,0.0001
12,1.4186,0.5388,1.394,0.4715,0.4702,0.0001
13,1.3998,0.5475,1.3832,0.4827,0.479,0.0001
14,1.378,0.5603,1.3889,0.4813,0.4749,0.0001
15,1.3591,0.5693,1.3931,0.4762,0.4744,5e-05
16,1.3122,0.5935,1.4159,0.4703,0.4704,5e-05
17,1.2927,0.6007,1.4349,0.4673,0.4637,5e-05
18,1.2794,0.6106,1.4282,0.4731,0.4698,5e-05
19,1.2607,0.6183,1.4691,0.4637,0.4622,2.5e-05
20,1.2328,0.6344,1.4682,0.464,0.4618,2.5e-05
21,1.2161,0.6432,1.4921,0.4611,0.4565,2.5e-05
22,1.2102,0.6431,1.4861,0.4651,0.4627,2.5e-05
23,1.2026,0.6499,1.4982,0.463,0.46,1.25e-05
24,1.1796,0.6619,1.5066,0.463,0.4605,1.25e-05
25,1.1805,0.6602,1.5058,0.4618,0.4592,1.25e-05
26,1.174,0.6653,1.5204,0.4595,0.459,1.25e-05
27,1.1672,0.6673,1.5169,0.4609,0.4588,6.25e-06
28,1.1573,0.6736,1.526,0.4594,0.4575,6.25e-06
29,1.1539,0.675,1.5202,0.4629,0.4611,6.25e-06
30,1.1534,0.6744,1.5205,0.4632,0.4612,6.25e-06
31,1.1491,0.6763,1.5254,0.4626,0.4608,3.13e-06
32,1.1458,0.681,1.5345,0.4579,0.4559,3.13e-06
33,1.1442,0.6802,1.5324,0.4593,0.4569,3.13e-06
34,1.1424,0.6806,1.5381,0.4573,0.4559,3.13e-06
35,1.1432,0.6818,1.5393,0.4574,0.4563,1.56e-06
36,1.1431,0.6818,1.5358,0.4585,0.4563,1.56e-06
37,1.1386,0.682,1.54,0.4579,0.4564,1.56e-06
38,1.1383,0.6828,1.5386,0.4585,0.4563,1.56e-06
39,1.1412,0.6832,1.5417,0.4573,0.4554,1e-06
40,1.1363,0.6848,1.5412,0.4573,0.4559,1e-06
41,1.1391,0.6859,1.5427,0.4573,0.4557,1e-06
42,1.1382,0.6856,1.5424,0.4569,0.4549,1e-06
43,1.1359,0.6872,1.5464,0.457,0.4554,1e-06
44,1.1383,0.683,1.5456,0.457,0.4552,1e-06
45,1.1359,0.6858,1.5433,0.4568,0.4553,1e-06
46,1.1342,0.6844,1.5442,0.458,0.456,1e-06
47,1.1357,0.6851,1.5444,0.4572,0.4549,1e-06
48,1.1322,0.6872,1.5474,0.4576,0.4561,1e-06
49,1.1356,0.685,1.5451,0.4579,0.4558,1e-06
50,1.1345,0.6836,1.5455,0.457,0.4551,1e-06
51,1.1347,0.6871,1.5467,0.4568,0.4548,1e-06
52,1.1334,0.6865,1.5462,0.4568,0.4548,1e-06
53,1.1327,0.6857,1.5477,0.4574,0.4556,1e-06
54,1.1333,0.6863,1.5474,0.4576,0.4558,1e-06
55,1.1306,0.6872,1.5516,0.4559,0.4543,1e-06
56,1.1267,0.6884,1.5501,0.4561,0.4544,1e-06
57,1.1304,0.6869,1.5499,0.457,0.4553,1e-06
58,1.1283,0.6895,1.5505,0.4569,0.4554,1e-06
59,1.1308,0.6863,1.5508,0.4556,0.4542,1e-06
60,1.1298,0.6879,1.5473,0.4568,0.4551,1e-06
61,1.1292,0.6898,1.5504,0.4562,0.4545,1e-06
62,1.1274,0.6901,1.5536,0.4553,0.4537,1e-06
63,1.1274,0.6899,1.5514,0.4557,0.4542,1e-06
