epoch,train_loss,train_acc,val_loss,val_acc,val_f1,lr
1,2.1182,0.2206,1.911,0.2657,0.2297,
2,1.9582,0.2528,1.8993,0.2628,0.2212,
3,1.9354,0.2718,1.8384,0.2965,0.2836,
4,1.9142,0.283,1.8648,0.286,0.265,
5,1.9021,0.2907,1.8061,0.3147,0.2881,
6,1.8857,0.3004,1.8165,0.3076,0.2883,
7,1.8707,0.3043,1.8101,0.3107,0.2841,
8,1.8564,0.3103,1.8091,0.3051,0.2922,
9,1.8379,0.3189,1.8262,0.3099,0.2943,
10,1.8151,0.3263,1.8077,0.3099,0.2875,
11,1.7974,0.333,1.8106,0.3104,0.2949,
12,1.7696,0.3417,1.7929,0.3222,0.3095,
13,1.7485,0.3476,1.8274,0.3095,0.2835,
14,1.7177,0.359,1.8663,0.297,0.2859,
15,1.6861,0.3698,1.8336,0.3132,0.2998,
16,1.6468,0.3818,1.851,0.298,0.2925,
17,1.6111,0.397,1.8739,0.3066,0.303,
18,1.565,0.4114,1.938,0.2907,0.2852,
19,1.5202,0.4269,1.9465,0.2999,0.2998,
20,1.4736,0.4426,2.0458,0.2941,0.2804,
21,1.4252,0.4585,2.0312,0.2816,0.287,
