epoch,train_loss,train_acc,val_loss,val_acc,val_f1,lr
1,2.4439,0.209,1.959,0.25,0.1574,
2,1.938,0.2407,1.9238,0.1824,0.1181,
3,1.8942,0.246,1.9124,0.244,0.1921,
4,1.862,0.2681,1.9067,0.2355,0.1974,
5,1.8468,0.2684,1.8785,0.2621,0.179,
6,1.8435,0.2729,1.9718,0.2198,0.185,
7,1.8359,0.2852,1.879,0.2717,0.202,
8,1.826,0.286,1.8747,0.2512,0.1776,
9,1.8132,0.2966,1.9902,0.2126,0.1702,
10,1.8105,0.3034,1.9317,0.2295,0.18,
11,1.797,0.3004,1.8811,0.2754,0.2171,
12,1.7709,0.3215,1.9048,0.2633,0.1898,
13,1.7824,0.315,1.8564,0.2802,0.2317,
14,1.7474,0.3351,1.8829,0.285,0.2342,
15,1.7286,0.3401,1.9124,0.2572,0.2267,
16,1.7273,0.3449,1.9011,0.2838,0.2253,
17,1.7099,0.3522,1.9907,0.2754,0.2347,
18,1.713,0.3545,1.8783,0.2778,0.2526,
19,1.6946,0.3535,1.9169,0.3019,0.2583,
20,1.6539,0.3907,1.8888,0.314,0.2754,
21,1.6302,0.388,2.0213,0.2911,0.2446,
22,1.6155,0.3988,2.001,0.2717,0.2222,
23,1.5958,0.4129,2.052,0.2899,0.2531,
24,1.5532,0.4252,1.9748,0.2814,0.2569,
25,1.5056,0.4378,2.0135,0.279,0.2372,
26,1.4901,0.4572,2.1491,0.2802,0.2527,
27,1.4886,0.4421,2.1693,0.2923,0.2651,
28,1.4221,0.4816,2.1499,0.2947,0.2542,
29,1.3981,0.4907,2.2496,0.2693,0.2618,
30,1.3388,0.5081,2.5118,0.2814,0.2585,
