epoch,train_loss,train_acc,val_loss,val_acc,val_f1,lr
1,1.8377,0.3777,1.5644,0.4253,0.4107,0.0002
2,1.751,0.4228,1.5431,0.4304,0.4116,0.0002
3,1.71,0.4444,1.527,0.4367,0.4244,0.0002
4,1.6724,0.4587,1.5275,0.4386,0.4313,0.0002
5,1.6304,0.4771,1.5264,0.4317,0.43,0.0002
6,1.5841,0.496,1.5079,0.4474,0.4394,0.0002
7,1.5347,0.5211,1.5142,0.4439,0.438,0.0002
8,1.4805,0.5463,1.5499,0.4306,0.4166,0.0002
9,1.4306,0.57,1.5855,0.4356,0.4214,0.0002
10,1.3771,0.5963,1.6028,0.4279,0.4228,0.0001
11,1.2394,0.6631,1.647,0.4353,0.4277,0.0001
12,1.1725,0.6935,1.6754,0.4317,0.4277,0.0001
13,1.1251,0.7184,1.6957,0.4318,0.43,0.0001
14,1.0814,0.7388,1.7341,0.4296,0.4272,5e-05
15,1.0079,0.7765,1.7865,0.4266,0.4227,5e-05
16,0.9739,0.7937,1.8003,0.4289,0.4249,5e-05
17,0.9482,0.8052,1.821,0.4267,0.4214,5e-05
18,0.9278,0.8151,1.8464,0.419,0.415,2.5e-05
19,0.8875,0.8349,1.8687,0.4255,0.4226,2.5e-05
20,0.8775,0.8416,1.8956,0.4198,0.4178,2.5e-05
21,0.8658,0.8459,1.9046,0.4204,0.4183,2.5e-05
22,0.853,0.8508,1.9024,0.4239,0.4208,1.25e-05
23,0.8391,0.8607,1.9314,0.4177,0.4154,1.25e-05
24,0.8301,0.8638,1.9255,0.4193,0.4155,1.25e-05
25,0.8242,0.8677,1.9414,0.4164,0.4159,1.25e-05
26,0.8185,0.8704,1.9474,0.4178,0.4153,6.25e-06
27,0.8108,0.8723,1.9495,0.4183,0.4167,6.25e-06
28,0.8079,0.8734,1.9476,0.4186,0.4161,6.25e-06
29,0.8062,0.8746,1.9593,0.4165,0.4138,6.25e-06
30,0.8004,0.879,1.9631,0.4177,0.4149,3.13e-06
31,0.8001,0.878,1.9695,0.417,0.4143,3.13e-06
32,0.7983,0.8785,1.9659,0.4166,0.4149,3.13e-06
33,0.7931,0.8826,1.968,0.4177,0.4147,3.13e-06
34,0.7949,0.8808,1.9747,0.4158,0.4135,1.56e-06
35,0.793,0.8835,1.9716,0.4176,0.415,1.56e-06
36,0.7932,0.8812,1.9743,0.4161,0.4139,1.56e-06
37,0.7936,0.8801,1.9729,0.4166,0.4142,1.56e-06
38,0.7946,0.8812,1.9753,0.4143,0.4125,1e-06
39,0.7901,0.8833,1.9751,0.4176,0.4146,1e-06
40,0.7898,0.8826,1.9773,0.416,0.4138,1e-06
41,0.7893,0.8831,1.9758,0.4168,0.4141,1e-06
42,0.7876,0.8857,1.9803,0.4167,0.4144,1e-06
43,0.7855,0.8857,1.9808,0.4162,0.4138,1e-06
44,0.7877,0.8851,1.9811,0.417,0.4147,1e-06
45,0.7894,0.8833,1.9798,0.4151,0.413,1e-06
