epoch,train_loss,train_acc,val_loss,val_acc,val_f1,lr
1,1.6892,0.3978,1.4921,0.43,0.4107,0.0002
2,1.5976,0.445,1.5244,0.4198,0.4052,0.0002
3,1.56,0.4666,1.4507,0.4456,0.4468,0.0002
4,1.535,0.4793,1.4403,0.4512,0.4452,0.0002
5,1.5094,0.4924,1.4343,0.4524,0.4494,0.0002
6,1.489,0.504,1.4467,0.4496,0.4486,0.0002
7,1.466,0.5134,1.4275,0.4622,0.4483,0.0002
8,1.4372,0.5263,1.4471,0.4567,0.4533,0.0002
9,1.4105,0.5431,1.4208,0.468,0.4619,0.0002
10,1.3827,0.5576,1.4721,0.4474,0.4459,0.0002
11,1.3502,0.5733,1.492,0.4423,0.4484,0.0002
12,1.3166,0.5914,1.5018,0.4498,0.4466,0.0002
13,1.2841,0.6064,1.5299,0.438,0.4344,0.0001
14,1.18,0.6605,1.5987,0.4399,0.4383,0.0001
