epoch,train_loss,train_acc,val_loss,val_acc,val_f1,lr
1,1.6902,0.403,1.4837,0.4207,0.3957,0.0002
2,1.6094,0.4469,1.435,0.4528,0.4392,0.0002
3,1.568,0.465,1.4217,0.4605,0.4529,0.0002
4,1.5311,0.4827,1.3961,0.4641,0.4523,0.0002
5,1.4937,0.5031,1.3905,0.4718,0.465,0.0002
6,1.4463,0.5263,1.4294,0.4563,0.4531,0.0002
7,1.4041,0.5482,1.4055,0.4676,0.4566,0.0002
8,1.3547,0.571,1.4828,0.4468,0.4515,0.0002
9,1.3067,0.5969,1.4928,0.4443,0.444,0.0001
10,1.1792,0.6601,1.5038,0.4582,0.4566,0.0001
11,1.1182,0.6914,1.5801,0.4454,0.4488,0.0001
12,1.0647,0.7184,1.6032,0.4445,0.4447,0.0001
13,1.0252,0.7387,1.6579,0.4391,0.4455,5e-05
14,0.9469,0.779,1.6898,0.436,0.4379,5e-05
15,0.9117,0.7972,1.7159,0.4406,0.4415,5e-05
16,0.8872,0.8097,1.7264,0.4411,0.4398,5e-05
17,0.8658,0.8197,1.7508,0.4391,0.4382,2.5e-05
18,0.8312,0.8391,1.7831,0.4374,0.4385,2.5e-05
19,0.8145,0.848,1.8114,0.4334,0.4355,2.5e-05
20,0.8019,0.8523,1.8316,0.4345,0.4351,2.5e-05
21,0.7913,0.8588,1.8282,0.4355,0.4342,1.25e-05
22,0.7778,0.8657,1.8537,0.4326,0.4328,1.25e-05
23,0.7713,0.8677,1.8548,0.4368,0.4343,1.25e-05
24,0.7677,0.8703,1.8677,0.4327,0.4327,1.25e-05
25,0.7606,0.873,1.8652,0.4361,0.4352,6.25e-06
26,0.7509,0.8774,1.8671,0.4315,0.4312,6.25e-06
27,0.7497,0.8785,1.8721,0.4316,0.4327,6.25e-06
28,0.7469,0.8787,1.8737,0.4311,0.4313,6.25e-06
29,0.7369,0.8857,1.8894,0.4274,0.4298,3.13e-06
30,0.7423,0.8817,1.8808,0.4334,0.4334,3.13e-06
31,0.7384,0.8837,1.8864,0.4334,0.433,3.13e-06
32,0.7365,0.8864,1.8915,0.432,0.4325,3.13e-06
33,0.7329,0.8879,1.8816,0.434,0.4333,1.56e-06
34,0.7334,0.8872,1.8894,0.4322,0.4317,1.56e-06
35,0.7334,0.8876,1.8882,0.4323,0.432,1.56e-06
36,0.7327,0.8863,1.8921,0.4322,0.4317,1.56e-06
37,0.7284,0.8893,1.8931,0.4315,0.431,1e-06
38,0.7334,0.8867,1.8937,0.4318,0.4315,1e-06
39,0.7291,0.8891,1.8954,0.432,0.4311,1e-06
40,0.7303,0.8877,1.8963,0.4329,0.4324,1e-06
41,0.7334,0.8871,1.8935,0.4325,0.4322,1e-06
42,0.7322,0.887,1.8964,0.432,0.4319,1e-06
43,0.7279,0.8903,1.8964,0.4318,0.4316,1e-06
44,0.7318,0.886,1.8962,0.4323,0.4321,1e-06
45,0.7314,0.8884,1.8935,0.4331,0.4326,1e-06
46,0.7283,0.89,1.8987,0.4321,0.432,1e-06
47,0.7276,0.8887,1.9019,0.4318,0.4319,1e-06
48,0.7292,0.8895,1.8972,0.4329,0.4328,1e-06
49,0.7309,0.8883,1.894,0.4318,0.4306,1e-06
50,0.7268,0.8897,1.8999,0.4325,0.4318,1e-06
51,0.7256,0.8913,1.9011,0.4319,0.4312,1e-06
52,0.7265,0.8915,1.9014,0.4306,0.4304,1e-06
53,0.7266,0.89,1.9033,0.4302,0.4299,1e-06
54,0.7294,0.8882,1.9005,0.4302,0.4297,1e-06
55,0.7251,0.8903,1.9021,0.431,0.4304,1e-06
56,0.7251,0.8911,1.9019,0.4318,0.4311,1e-06
57,0.7255,0.8924,1.9055,0.4303,0.4301,1e-06
58,0.7267,0.8895,1.9025,0.4312,0.4299,1e-06
59,0.7217,0.8929,1.9048,0.4311,0.431,1e-06
60,0.7237,0.8915,1.9053,0.4313,0.4307,1e-06
61,0.7204,0.8928,1.9051,0.4311,0.4308,1e-06
62,0.7224,0.8925,1.9076,0.4311,0.4309,1e-06
63,0.7228,0.8914,1.9067,0.4326,0.4322,1e-06
64,0.7218,0.8912,1.9117,0.4312,0.4309,1e-06
65,0.7226,0.8921,1.9076,0.4314,0.4311,1e-06
