epoch,train_loss,train_acc,val_loss,val_acc,val_f1,lr
1,2.0522,0.3138,1.6722,0.3748,0.352,0.0002
2,1.8774,0.3605,1.6273,0.4024,0.3957,0.0002
3,1.8422,0.3763,1.6212,0.4042,0.3803,0.0002
4,1.816,0.3898,1.617,0.4076,0.395,0.0002
5,1.7918,0.4022,1.6472,0.3967,0.3862,0.0002
6,1.7653,0.4168,1.5995,0.4041,0.3912,0.0002
7,1.7375,0.4294,1.6151,0.3963,0.3825,0.0002
8,1.7103,0.4403,1.614,0.3975,0.3745,0.0002
9,1.6832,0.4585,1.606,0.4085,0.3964,0.0002
10,1.6575,0.4685,1.6015,0.4116,0.396,0.0001
11,1.5728,0.5118,1.6397,0.41,0.4003,0.0001
12,1.5286,0.532,1.6464,0.4032,0.3886,0.0001
13,1.4882,0.5507,1.6744,0.4,0.3929,0.0001
14,1.4608,0.5676,1.6608,0.4062,0.402,5e-05
15,1.3926,0.6019,1.7125,0.3998,0.3969,5e-05
16,1.358,0.6188,1.7326,0.4043,0.4002,5e-05
17,1.3296,0.6305,1.7686,0.3939,0.3921,5e-05
18,1.3026,0.6466,1.7709,0.4006,0.3992,2.5e-05
19,1.2622,0.6648,1.7947,0.3951,0.3925,2.5e-05
20,1.2465,0.674,1.799,0.401,0.397,2.5e-05
21,1.2283,0.6812,1.818,0.4004,0.3993,2.5e-05
22,1.2099,0.6918,1.8358,0.3974,0.3954,1.25e-05
23,1.1876,0.7019,1.8522,0.3943,0.3934,1.25e-05
24,1.1811,0.7051,1.8576,0.3948,0.3943,1.25e-05
25,1.1737,0.7074,1.8593,0.3947,0.3947,1.25e-05
26,1.1619,0.7136,1.8784,0.3932,0.3916,6.25e-06
27,1.1541,0.7183,1.862,0.3957,0.3949,6.25e-06
28,1.1449,0.7213,1.8731,0.3941,0.3944,6.25e-06
29,1.1401,0.7242,1.8826,0.3912,0.391,6.25e-06
30,1.137,0.7269,1.9004,0.3924,0.3928,3.13e-06
31,1.1319,0.7281,1.8882,0.3941,0.3939,3.13e-06
32,1.1295,0.7314,1.8937,0.3934,0.3935,3.13e-06
33,1.1259,0.7311,1.8839,0.3933,0.3927,3.13e-06
34,1.129,0.7312,1.8858,0.3932,0.3923,1.56e-06
35,1.1185,0.7346,1.8947,0.3933,0.3932,1.56e-06
36,1.1201,0.7341,1.8901,0.3929,0.3929,1.56e-06
37,1.1261,0.7325,1.8954,0.3933,0.3934,1.56e-06
38,1.1182,0.7337,1.8923,0.3938,0.3936,1e-06
