epoch,train_loss,train_acc,val_loss,val_acc,val_f1,lr
1,1.7768,0.3411,1.6425,0.3603,0.3475,0.0002
2,1.7037,0.3866,1.6157,0.3714,0.3639,0.0002
3,1.6687,0.4047,1.5995,0.3844,0.3719,0.0002
4,1.642,0.4193,1.6066,0.3832,0.3738,0.0002
5,1.6118,0.4356,1.5782,0.3948,0.3876,0.0002
6,1.581,0.4512,1.6259,0.3729,0.3518,0.0002
