epoch,train_loss,train_acc,val_loss,val_acc,val_f1,lr
1,1.7063,0.3923,1.4893,0.4275,0.416,0.0002
2,1.6361,0.4301,1.4181,0.4567,0.4458,0.0002
3,1.6064,0.4483,1.4627,0.4391,0.4335,0.0002
4,1.589,0.4567,1.4117,0.4624,0.4587,0.0002
5,1.5706,0.4615,1.4184,0.4584,0.4481,0.0002
6,1.5552,0.4726,1.4347,0.4535,0.44,0.0002
7,1.5428,0.4789,1.3836,0.4737,0.473,0.0002
8,1.5275,0.4843,1.4005,0.4728,0.4696,0.0002
9,1.5127,0.4933,1.396,0.4679,0.4668,0.0002
10,1.4976,0.5011,1.3939,0.4748,0.4761,0.0002
11,1.479,0.5117,1.4008,0.475,0.4774,0.0001
12,1.4346,0.5311,1.3767,0.4869,0.4829,0.0001
13,1.4133,0.5404,1.4166,0.4648,0.4589,0.0001
14,1.3882,0.5554,1.4204,0.4695,0.4687,0.0001
15,1.3738,0.5624,1.4487,0.4633,0.4587,0.0001
16,1.3575,0.5704,1.4746,0.454,0.4511,5e-05
17,1.31,0.5942,1.4326,0.4718,0.4705,5e-05
18,1.294,0.6027,1.4427,0.4706,0.4657,5e-05
19,1.2771,0.6101,1.4676,0.4651,0.465,5e-05
20,1.2654,0.6174,1.4789,0.4655,0.4622,2.5e-05
21,1.2397,0.6313,1.4763,0.4691,0.467,2.5e-05
22,1.2306,0.6342,1.4982,0.4621,0.461,2.5e-05
23,1.2215,0.6404,1.497,0.4639,0.4609,2.5e-05
24,1.2109,0.6452,1.5291,0.4541,0.4546,1.25e-05
