epoch,phase,pct,batch_idx,n_batches,cumulative_loss,elapsed_min
1,train,4.8,21,437,1.8973,0.5
1,train,9.6,42,437,1.8411,0.8
1,train,14.4,63,437,1.8102,1.0
1,train,19.2,84,437,1.7916,1.3
1,train,24.0,105,437,1.7745,1.6
1,train,28.8,126,437,1.7587,2.1
1,train,33.6,147,437,1.7466,2.8
1,train,38.4,168,437,1.7402,3.0
1,train,43.2,189,437,1.733,3.7
1,train,48.1,210,437,1.7273,4.5
1,train,52.9,231,437,1.7223,4.8
1,train,57.7,252,437,1.717,5.4
1,train,62.5,273,437,1.7118,5.7
1,train,67.3,294,437,1.7083,6.0
1,train,72.1,315,437,1.7056,6.5
1,train,76.9,336,437,1.7028,7.1
1,train,81.7,357,437,1.6991,7.6
1,train,86.5,378,437,1.6961,8.4
1,train,91.3,399,437,1.6933,8.7
1,train,96.1,420,437,1.6912,9.7
1,train,100.0,437,437,1.6902,9.9
1,val,4.3,4,93,1.5479,0.2
1,val,8.6,8,93,1.5057,0.2
1,val,12.9,12,93,1.4944,0.4
1,val,17.2,16,93,1.502,0.4
1,val,21.5,20,93,1.5127,0.4
1,val,25.8,24,93,1.501,0.5
1,val,30.1,28,93,1.5044,0.5
1,val,34.4,32,93,1.5035,0.6
1,val,38.7,36,93,1.4991,0.6
1,val,43.0,40,93,1.4928,0.6
1,val,47.3,44,93,1.4867,0.7
1,val,51.6,48,93,1.4739,0.7
1,val,55.9,52,93,1.4863,0.9
1,val,60.2,56,93,1.4826,1.0
1,val,64.5,60,93,1.4767,1.0
1,val,68.8,64,93,1.4784,1.0
1,val,73.1,68,93,1.4712,1.1
1,val,77.4,72,93,1.4806,1.1
1,val,81.7,76,93,1.4795,1.1
1,val,86.0,80,93,1.4783,1.2
1,val,90.3,84,93,1.486,1.2
1,val,94.6,88,93,1.4838,1.3
1,val,98.9,92,93,1.4843,1.4
1,val,100.0,93,93,1.4837,1.4
2,train,4.8,21,437,1.617,0.4
2,train,9.6,42,437,1.6056,0.6
2,train,14.4,63,437,1.6028,0.9
2,train,19.2,84,437,1.6072,1.2
2,train,24.0,105,437,1.6053,2.0
2,train,28.8,126,437,1.6073,2.3
2,train,33.6,147,437,1.6042,2.5
2,train,38.4,168,437,1.6043,3.1
2,train,43.2,189,437,1.606,3.4
2,train,48.1,210,437,1.606,4.2
2,train,52.9,231,437,1.6073,4.4
2,train,57.7,252,437,1.6079,5.4
2,train,62.5,273,437,1.607,5.7
2,train,67.3,294,437,1.607,6.4
2,train,72.1,315,437,1.6093,7.1
2,train,76.9,336,437,1.6093,7.4
2,train,81.7,357,437,1.6087,8.0
2,train,86.5,378,437,1.6079,8.3
2,train,91.3,399,437,1.6083,8.9
2,train,96.1,420,437,1.6086,9.1
2,train,100.0,437,437,1.6094,9.6
2,val,4.3,4,93,1.4961,0.1
2,val,8.6,8,93,1.4533,0.2
2,val,12.9,12,93,1.4478,0.2
2,val,17.2,16,93,1.4523,0.3
2,val,21.5,20,93,1.4607,0.4
2,val,25.8,24,93,1.453,0.4
2,val,30.1,28,93,1.4523,0.4
2,val,34.4,32,93,1.4523,0.5
2,val,38.7,36,93,1.4465,0.5
2,val,43.0,40,93,1.4406,0.5
2,val,47.3,44,93,1.4351,0.6
2,val,51.6,48,93,1.4247,0.8
2,val,55.9,52,93,1.4368,0.8
2,val,60.2,56,93,1.4342,0.8
2,val,64.5,60,93,1.4299,0.9
2,val,68.8,64,93,1.4311,0.9
2,val,73.1,68,93,1.423,0.9
2,val,77.4,72,93,1.4318,1.0
2,val,81.7,76,93,1.4311,1.3
2,val,86.0,80,93,1.4309,1.3
2,val,90.3,84,93,1.4361,1.3
2,val,94.6,88,93,1.4337,1.4
2,val,98.9,92,93,1.4355,1.4
2,val,100.0,93,93,1.435,1.4
3,train,4.8,21,437,1.5779,0.4
3,train,9.6,42,437,1.5678,0.7
3,train,14.4,63,437,1.5653,0.9
3,train,19.2,84,437,1.5652,1.2
3,train,24.0,105,437,1.5678,1.6
3,train,28.8,126,437,1.5718,2.1
3,train,33.6,147,437,1.573,2.4
3,train,38.4,168,437,1.5722,2.8
3,train,43.2,189,437,1.5718,3.2
3,train,48.1,210,437,1.5707,3.5
3,train,52.9,231,437,1.5694,4.2
3,train,57.7,252,437,1.5685,4.5
3,train,62.5,273,437,1.5685,4.9
3,train,67.3,294,437,1.5687,5.3
3,train,72.1,315,437,1.5699,5.7
3,train,76.9,336,437,1.568,6.1
3,train,81.7,357,437,1.5679,6.4
3,train,86.5,378,437,1.5673,7.0
3,train,91.3,399,437,1.5671,7.3
3,train,96.1,420,437,1.5681,7.6
3,train,100.0,437,437,1.568,8.1
3,val,4.3,4,93,1.4826,0.1
3,val,8.6,8,93,1.4157,0.1
3,val,12.9,12,93,1.4007,0.2
3,val,17.2,16,93,1.4085,0.2
3,val,21.5,20,93,1.4258,0.3
3,val,25.8,24,93,1.4173,0.3
3,val,30.1,28,93,1.4189,0.3
3,val,34.4,32,93,1.4225,0.4
3,val,38.7,36,93,1.4129,0.5
3,val,43.0,40,93,1.4067,0.5
3,val,47.3,44,93,1.4084,0.6
3,val,51.6,48,93,1.4043,0.6
3,val,55.9,52,93,1.4172,0.6
3,val,60.2,56,93,1.4159,0.7
3,val,64.5,60,93,1.4158,0.7
3,val,68.8,64,93,1.4183,0.7
3,val,73.1,68,93,1.4095,0.8
3,val,77.4,72,93,1.4185,0.8
3,val,81.7,76,93,1.4174,0.9
3,val,86.0,80,93,1.4197,0.9
3,val,90.3,84,93,1.4246,1.1
3,val,94.6,88,93,1.4202,1.1
3,val,98.9,92,93,1.4222,1.1
3,val,100.0,93,93,1.4217,1.1
4,train,4.8,21,437,1.546,0.3
4,train,9.6,42,437,1.5324,0.6
4,train,14.4,63,437,1.533,1.2
4,train,19.2,84,437,1.5294,1.5
4,train,24.0,105,437,1.5299,1.8
4,train,28.8,126,437,1.5306,2.3
4,train,33.6,147,437,1.5298,2.7
4,train,38.4,168,437,1.5301,3.0
4,train,43.2,189,437,1.5269,3.3
4,train,48.1,210,437,1.5287,4.0
4,train,52.9,231,437,1.5282,4.3
4,train,57.7,252,437,1.529,4.9
4,train,62.5,273,437,1.5286,5.2
4,train,67.3,294,437,1.53,5.7
4,train,72.1,315,437,1.5312,6.0
4,train,76.9,336,437,1.5319,6.5
4,train,81.7,357,437,1.5308,7.0
4,train,86.5,378,437,1.5313,7.8
4,train,91.3,399,437,1.5318,8.1
4,train,96.1,420,437,1.531,8.5
4,train,100.0,437,437,1.5311,8.9
4,val,4.3,4,93,1.4799,0.1
4,val,8.6,8,93,1.4342,0.2
4,val,12.9,12,93,1.4128,0.2
4,val,17.2,16,93,1.4142,0.2
4,val,21.5,20,93,1.4225,0.3
4,val,25.8,24,93,1.4108,0.3
4,val,30.1,28,93,1.4085,0.6
4,val,34.4,32,93,1.4085,0.6
4,val,38.7,36,93,1.4023,0.6
4,val,43.0,40,93,1.3928,0.7
4,val,47.3,44,93,1.39,0.7
4,val,51.6,48,93,1.3786,0.7
4,val,55.9,52,93,1.3919,0.8
4,val,60.2,56,93,1.3899,0.8
4,val,64.5,60,93,1.3892,0.9
4,val,68.8,64,93,1.392,1.1
4,val,73.1,68,93,1.3843,1.2
4,val,77.4,72,93,1.3904,1.2
4,val,81.7,76,93,1.3905,1.2
4,val,86.0,80,93,1.3925,1.3
4,val,90.3,84,93,1.3979,1.3
4,val,94.6,88,93,1.3948,1.3
4,val,98.9,92,93,1.3966,1.4
4,val,100.0,93,93,1.3961,1.4
5,train,4.8,21,437,1.4487,0.3
5,train,9.6,42,437,1.4629,0.7
5,train,14.4,63,437,1.4753,1.1
5,train,19.2,84,437,1.4756,1.4
5,train,24.0,105,437,1.4758,1.7
5,train,28.8,126,437,1.4785,2.0
5,train,33.6,147,437,1.4812,2.6
5,train,38.4,168,437,1.4816,2.9
5,train,43.2,189,437,1.4827,3.2
5,train,48.1,210,437,1.4844,3.7
5,train,52.9,231,437,1.4865,4.1
5,train,57.7,252,437,1.4851,4.5
5,train,62.5,273,437,1.4862,5.0
5,train,67.3,294,437,1.4887,5.4
5,train,72.1,315,437,1.4899,5.7
5,train,76.9,336,437,1.491,6.3
5,train,81.7,357,437,1.4921,6.6
5,train,86.5,378,437,1.4933,7.1
5,train,91.3,399,437,1.4937,7.4
5,train,96.1,420,437,1.4939,7.9
5,train,100.0,437,437,1.4937,8.1
5,val,4.3,4,93,1.4897,0.3
5,val,8.6,8,93,1.4364,0.3
5,val,12.9,12,93,1.4056,0.4
5,val,17.2,16,93,1.4066,0.4
5,val,21.5,20,93,1.4229,0.4
5,val,25.8,24,93,1.4118,0.5
5,val,30.1,28,93,1.4096,0.5
5,val,34.4,32,93,1.4057,0.6
5,val,38.7,36,93,1.3987,0.8
5,val,43.0,40,93,1.3891,0.9
5,val,47.3,44,93,1.3844,0.9
5,val,51.6,48,93,1.3708,0.9
5,val,55.9,52,93,1.386,1.0
5,val,60.2,56,93,1.3858,1.0
5,val,64.5,60,93,1.3843,1.1
5,val,68.8,64,93,1.3869,1.1
5,val,73.1,68,93,1.3784,1.1
5,val,77.4,72,93,1.3864,1.2
5,val,81.7,76,93,1.3841,1.2
5,val,86.0,80,93,1.385,1.2
5,val,90.3,84,93,1.3911,1.3
5,val,94.6,88,93,1.3887,1.3
5,val,98.9,92,93,1.3912,1.5
5,val,100.0,93,93,1.3905,1.5
6,train,4.8,21,437,1.4118,0.4
6,train,9.6,42,437,1.4122,0.7
6,train,14.4,63,437,1.4277,0.9
6,train,19.2,84,437,1.4336,1.3
6,train,24.0,105,437,1.435,1.9
6,train,28.8,126,437,1.4384,2.2
6,train,33.6,147,437,1.4383,2.5
6,train,38.4,168,437,1.4376,3.1
6,train,43.2,189,437,1.4396,3.4
6,train,48.1,210,437,1.4396,3.7
