epoch,phase,pct,batch_idx,n_batches,cumulative_loss,elapsed_min
1,train,5.0,22,443,1.9236,1.1
1,train,9.9,44,443,1.875,2.1
1,train,14.9,66,443,1.8428,3.1
1,train,19.9,88,443,1.8189,4.1
1,train,24.8,110,443,1.8013,5.1
1,train,29.8,132,443,1.787,6.1
1,train,34.8,154,443,1.7726,7.0
1,train,39.7,176,443,1.7621,8.0
1,train,44.7,198,443,1.7529,9.0
1,train,49.7,220,443,1.7443,10.0
1,train,54.6,242,443,1.7348,11.0
1,train,59.6,264,443,1.7277,11.9
1,train,64.6,286,443,1.721,12.9
1,train,69.5,308,443,1.7168,13.9
1,train,74.5,330,443,1.7113,14.9
1,train,79.5,352,443,1.7058,15.9
1,train,84.4,374,443,1.7014,16.9
1,train,89.4,396,443,1.6975,17.8
1,train,94.4,418,443,1.6931,18.8
1,train,99.3,440,443,1.6895,19.8
1,train,100.0,443,443,1.6892,19.9
1,val,4.4,4,90,1.4733,0.3
1,val,8.9,8,90,1.4707,0.4
1,val,13.3,12,90,1.481,0.6
1,val,17.8,16,90,1.4516,0.8
1,val,22.2,20,90,1.4551,1.0
1,val,26.7,24,90,1.4827,1.1
1,val,31.1,28,90,1.4829,1.3
1,val,35.6,32,90,1.4941,1.5
1,val,40.0,36,90,1.5048,1.7
1,val,44.4,40,90,1.503,1.8
1,val,48.9,44,90,1.4926,2.0
1,val,53.3,48,90,1.501,2.2
1,val,57.8,52,90,1.4994,2.3
1,val,62.2,56,90,1.4948,2.5
1,val,66.7,60,90,1.4958,2.7
1,val,71.1,64,90,1.4958,2.9
1,val,75.6,68,90,1.4959,3.0
1,val,80.0,72,90,1.4973,3.2
1,val,84.4,76,90,1.4957,3.4
1,val,88.9,80,90,1.4943,3.6
1,val,93.3,84,90,1.4956,3.7
1,val,97.8,88,90,1.4946,3.9
1,val,100.0,90,90,1.4921,4.0
2,train,5.0,22,443,1.632,1.0
2,train,9.9,44,443,1.6132,2.0
2,train,14.9,66,443,1.6143,3.0
2,train,19.9,88,443,1.6177,4.0
2,train,24.8,110,443,1.6116,5.0
2,train,29.8,132,443,1.6132,5.9
2,train,34.8,154,443,1.611,6.9
2,train,39.7,176,443,1.6089,7.9
2,train,44.7,198,443,1.6081,8.9
2,train,49.7,220,443,1.6066,9.9
2,train,54.6,242,443,1.6034,10.9
2,train,59.6,264,443,1.603,11.8
2,train,64.6,286,443,1.603,12.8
2,train,69.5,308,443,1.6008,13.8
2,train,74.5,330,443,1.6009,14.8
2,train,79.5,352,443,1.6001,15.8
2,train,84.4,374,443,1.6004,16.8
2,train,89.4,396,443,1.6,17.7
2,train,94.4,418,443,1.5988,18.7
2,train,99.3,440,443,1.5979,19.7
2,train,100.0,443,443,1.5976,19.8
2,val,4.4,4,90,1.5427,0.2
2,val,8.9,8,90,1.5025,0.4
2,val,13.3,12,90,1.4803,0.5
2,val,17.8,16,90,1.4629,0.7
2,val,22.2,20,90,1.4855,0.9
2,val,26.7,24,90,1.4946,1.1
2,val,31.1,28,90,1.4903,1.2
2,val,35.6,32,90,1.5064,1.4
2,val,40.0,36,90,1.5202,1.6
2,val,44.4,40,90,1.5282,1.8
2,val,48.9,44,90,1.5183,1.9
2,val,53.3,48,90,1.5321,2.1
2,val,57.8,52,90,1.5276,2.3
2,val,62.2,56,90,1.524,2.4
2,val,66.7,60,90,1.5278,2.6
2,val,71.1,64,90,1.5295,2.8
2,val,75.6,68,90,1.5269,3.0
2,val,80.0,72,90,1.53,3.1
2,val,84.4,76,90,1.5297,3.3
2,val,88.9,80,90,1.5281,3.5
2,val,93.3,84,90,1.5287,3.7
2,val,97.8,88,90,1.5272,3.8
2,val,100.0,90,90,1.5244,3.9
3,train,5.0,22,443,1.5506,1.0
3,train,9.9,44,443,1.5507,2.0
3,train,14.9,66,443,1.5526,3.0
3,train,19.9,88,443,1.564,4.0
3,train,24.8,110,443,1.5622,4.9
3,train,29.8,132,443,1.5599,5.9
3,train,34.8,154,443,1.5591,6.9
3,train,39.7,176,443,1.561,7.9
3,train,44.7,198,443,1.5573,8.9
3,train,49.7,220,443,1.5592,9.9
3,train,54.6,242,443,1.5582,10.8
3,train,59.6,264,443,1.5593,11.8
3,train,64.6,286,443,1.5597,12.8
3,train,69.5,308,443,1.5601,13.8
3,train,74.5,330,443,1.5599,14.8
