epoch,train_loss,train_acc,val_loss,val_acc,val_f1,lr
1,1.7012,0.3929,1.5148,0.4244,0.4127,0.0002
2,1.6233,0.434,1.494,0.4268,0.4233,0.0002
3,1.5951,0.4517,1.4576,0.4506,0.4399,0.0002
4,1.5725,0.4627,1.4551,0.4424,0.4353,0.0002
5,1.556,0.4714,1.4722,0.4423,0.4287,0.0002
6,1.5381,0.4814,1.478,0.4401,0.4369,0.0002
7,1.524,0.4868,1.4397,0.4537,0.4475,0.0002
8,1.511,0.492,1.4817,0.4445,0.4379,0.0002
9,1.4983,0.4994,1.4715,0.4483,0.4419,0.0002
10,1.4798,0.5085,1.5056,0.4305,0.4276,0.0002
11,1.4655,0.5167,1.4467,0.4591,0.4563,0.0001
12,1.4155,0.5395,1.4891,0.4454,0.4435,0.0001
13,1.3938,0.5515,1.4956,0.4447,0.4426,0.0001
14,1.3714,0.5645,1.4917,0.4502,0.4471,0.0001
15,1.356,0.5708,1.5106,0.4411,0.4415,5e-05
16,1.316,0.5921,1.5219,0.4465,0.4478,5e-05
17,1.2988,0.6012,1.557,0.4405,0.436,5e-05
18,1.284,0.6075,1.546,0.4426,0.4398,5e-05
19,1.2772,0.6095,1.5742,0.4374,0.4367,2.5e-05
20,1.2484,0.6268,1.5897,0.4349,0.435,2.5e-05
21,1.2383,0.6309,1.5796,0.4403,0.4376,2.5e-05
22,1.2302,0.636,1.6102,0.4337,0.4328,2.5e-05
23,1.2253,0.637,1.6199,0.4341,0.4327,1.25e-05
24,1.2116,0.6456,1.6109,0.4381,0.4357,1.25e-05
25,1.2029,0.6471,1.6195,0.435,0.4334,1.25e-05
26,1.2,0.6506,1.6259,0.4349,0.4333,1.25e-05
27,1.1967,0.6517,1.6282,0.4327,0.4295,6.25e-06
28,1.1888,0.6565,1.6445,0.429,0.4279,6.25e-06
29,1.1899,0.657,1.6413,0.4283,0.4289,6.25e-06
30,1.1852,0.658,1.6379,0.4307,0.4298,6.25e-06
31,1.1855,0.6578,1.6528,0.4307,0.4306,3.13e-06
32,1.1785,0.6624,1.6492,0.4303,0.429,3.13e-06
33,1.1773,0.663,1.6541,0.4317,0.4294,3.13e-06
34,1.1782,0.6628,1.6553,0.4298,0.4289,3.13e-06
35,1.1773,0.6615,1.6597,0.4293,0.4283,1.56e-06
36,1.1762,0.6631,1.6579,0.4291,0.4278,1.56e-06
37,1.175,0.6622,1.6558,0.4293,0.4278,1.56e-06
38,1.1732,0.6639,1.6588,0.4295,0.4281,1.56e-06
39,1.1739,0.6638,1.6599,0.4299,0.4287,1e-06
40,1.1734,0.6643,1.6574,0.4298,0.4287,1e-06
41,1.1696,0.6658,1.6585,0.43,0.4286,1e-06
42,1.1719,0.6653,1.6593,0.4293,0.428,1e-06
43,1.1694,0.6661,1.6631,0.4299,0.4287,1e-06
44,1.1695,0.6674,1.6603,0.4304,0.429,1e-06
45,1.1692,0.6675,1.6625,0.4293,0.4284,1e-06
46,1.1684,0.6644,1.6626,0.4291,0.4279,1e-06
47,1.1714,0.6643,1.6611,0.4298,0.4286,1e-06
48,1.1705,0.664,1.6648,0.4288,0.428,1e-06
49,1.1669,0.6682,1.661,0.4301,0.4291,1e-06
50,1.1698,0.6657,1.664,0.4293,0.4281,1e-06
51,1.1681,0.6684,1.6617,0.4292,0.4281,1e-06
52,1.1649,0.6699,1.6657,0.4289,0.4277,1e-06
53,1.1663,0.67,1.6685,0.4281,0.427,1e-06
54,1.168,0.6663,1.6669,0.428,0.4268,1e-06
55,1.1683,0.6671,1.6652,0.4295,0.4283,1e-06
56,1.166,0.6673,1.6646,0.4303,0.429,1e-06
57,1.1632,0.6717,1.6706,0.4288,0.4276,1e-06
58,1.1667,0.6693,1.6664,0.4296,0.4284,1e-06
59,1.1656,0.6685,1.6664,0.4295,0.4285,1e-06
60,1.1661,0.6689,1.667,0.4297,0.4289,1e-06
61,1.1651,0.67,1.6673,0.4291,0.4283,1e-06
62,1.1649,0.6685,1.6689,0.4288,0.4275,1e-06
63,1.1647,0.6708,1.6684,0.4303,0.4287,1e-06
64,1.1613,0.6724,1.6712,0.429,0.4277,1e-06
65,1.1645,0.6689,1.67,0.4293,0.4282,1e-06
66,1.1673,0.6673,1.6695,0.4295,0.4283,1e-06
67,1.1619,0.6704,1.6689,0.4299,0.4285,1e-06
68,1.1624,0.669,1.6687,0.4312,0.4296,1e-06
69,1.1641,0.6708,1.6686,0.4304,0.4288,1e-06
70,1.161,0.6719,1.6681,0.4301,0.4285,1e-06
71,1.1654,0.6703,1.6719,0.4291,0.428,1e-06
72,1.1628,0.6708,1.6718,0.4294,0.428,1e-06
73,1.1632,0.67,1.6717,0.4292,0.4279,1e-06
74,1.164,0.6692,1.6716,0.4306,0.4292,1e-06
