epoch,train_loss,train_acc,val_loss,val_acc,val_f1,lr
1,1.8677,0.36,1.638,0.3955,0.3709,0.0002
2,1.7963,0.3907,1.5837,0.4202,0.4012,0.0002
3,1.7533,0.4133,1.5834,0.4149,0.3981,0.0002
4,1.7151,0.4291,1.558,0.4254,0.4122,0.0002
5,1.6729,0.4489,1.5725,0.4249,0.4182,0.0002
6,1.6319,0.4684,1.5856,0.414,0.4072,0.0002
7,1.5805,0.4928,1.6229,0.3997,0.3851,0.0002
8,1.5295,0.5192,1.6242,0.4017,0.3973,0.0001
9,1.3921,0.5859,1.6329,0.4202,0.4128,0.0001
10,1.3145,0.6247,1.6746,0.4121,0.4089,0.0001
11,1.262,0.6501,1.7077,0.4161,0.4126,0.0001
12,1.2065,0.6776,1.7813,0.4042,0.4027,5e-05
13,1.1051,0.726,1.802,0.4122,0.4089,5e-05
14,1.066,0.7458,1.8247,0.4058,0.4004,5e-05
15,1.0334,0.7623,1.8837,0.3979,0.3969,5e-05
16,1.0091,0.773,1.8812,0.4001,0.3983,2.5e-05
17,0.9606,0.7983,1.9211,0.3996,0.3965,2.5e-05
18,0.9452,0.8057,1.933,0.3956,0.3932,2.5e-05
19,0.9275,0.8135,1.9653,0.3892,0.3892,2.5e-05
20,0.9161,0.8195,1.98,0.3955,0.3945,1.25e-05
21,0.8947,0.8291,1.9913,0.3929,0.3915,1.25e-05
22,0.8848,0.8346,1.9987,0.3926,0.3912,1.25e-05
23,0.8826,0.8376,2.0073,0.3942,0.3912,1.25e-05
24,0.8721,0.842,2.018,0.3961,0.3934,6.25e-06
25,0.8671,0.8459,2.0131,0.3942,0.3918,6.25e-06
26,0.8591,0.8481,2.0268,0.3922,0.3904,6.25e-06
27,0.8572,0.8481,2.0227,0.3943,0.3918,6.25e-06
28,0.8519,0.8516,2.0442,0.3901,0.3894,3.13e-06
29,0.8444,0.8561,2.0406,0.3929,0.3906,3.13e-06
30,0.8475,0.8539,2.0401,0.3925,0.3903,3.13e-06
31,0.8445,0.8573,2.0435,0.3938,0.3911,3.13e-06
32,0.8396,0.8582,2.049,0.3921,0.39,1.56e-06
33,0.8395,0.8582,2.0493,0.3918,0.3902,1.56e-06
34,0.839,0.8593,2.0508,0.3918,0.39,1.56e-06
35,0.8388,0.8573,2.0481,0.3909,0.3889,1.56e-06
36,0.8367,0.8588,2.0541,0.3896,0.388,1e-06
37,0.8374,0.8583,2.0537,0.3923,0.3901,1e-06
38,0.8385,0.8588,2.0542,0.3915,0.3892,1e-06
39,0.8313,0.8618,2.0567,0.3931,0.391,1e-06
40,0.8363,0.858,2.0584,0.3911,0.3891,1e-06
41,0.8315,0.862,2.0607,0.3918,0.3898,1e-06
42,0.8331,0.8617,2.0598,0.3917,0.3897,1e-06
43,0.8363,0.8598,2.0604,0.391,0.3892,1e-06
44,0.831,0.8612,2.0609,0.3909,0.3893,1e-06
45,0.8309,0.8614,2.0617,0.3912,0.3885,1e-06
46,0.8313,0.8623,2.0625,0.391,0.3886,1e-06
47,0.8285,0.8634,2.0631,0.3917,0.3895,1e-06
48,0.831,0.8609,2.0616,0.3929,0.3905,1e-06
49,0.8305,0.8626,2.0652,0.3917,0.3897,1e-06
50,0.8319,0.8608,2.0633,0.3919,0.3896,1e-06
51,0.8262,0.8638,2.0664,0.3898,0.3875,1e-06
52,0.8295,0.8617,2.0689,0.3905,0.3886,1e-06
53,0.824,0.8642,2.0721,0.3903,0.3882,1e-06
54,0.8291,0.8641,2.0694,0.3908,0.3884,1e-06
55,0.8289,0.8623,2.067,0.3904,0.388,1e-06
56,0.8272,0.8638,2.0701,0.3895,0.3875,1e-06
57,0.8249,0.8633,2.0737,0.3905,0.3885,1e-06
58,0.8249,0.864,2.0705,0.3901,0.3876,1e-06
59,0.8258,0.8639,2.0679,0.3918,0.3886,1e-06
60,0.8219,0.8664,2.074,0.3904,0.3878,1e-06
61,0.8239,0.8652,2.0757,0.3912,0.3888,1e-06
62,0.8217,0.866,2.0766,0.3902,0.3875,1e-06
63,0.8227,0.8655,2.0767,0.3908,0.3884,1e-06
64,0.8223,0.865,2.0781,0.3908,0.3887,1e-06
65,0.8216,0.8663,2.0784,0.3889,0.3864,1e-06
66,0.8224,0.8655,2.076,0.3908,0.3881,1e-06
67,0.8245,0.8645,2.0775,0.3905,0.3884,1e-06
68,0.8237,0.8649,2.0758,0.3913,0.389,1e-06
69,0.8199,0.8674,2.0753,0.3899,0.3878,1e-06
70,0.8201,0.8668,2.0807,0.3899,0.3876,1e-06
